ID,Family,Family2,Commonname,f_code,scientific name,Trophic Level,Max body size,Length category,Dietary group,Comercial Fishery,Game Fishery,Aquarium Fishery
1,ANGEL,Pomacanthidae,Blue,hobea,Holacanthus bermudensis,3,45,MED,SPON,minor,yes,yes
2,ANGEL,Pomacanthidae,cherubfish,ceara,Centropyge argi,2.0,8,SMALL,TURF,none,none,yes
3,ANGEL,Pomacanthidae,Flameback,ceaua,Centropyge aurantonotus,2.0,8,SMALL,TURF,none,none,yes
4,ANGEL,Pomacanthidae,french,popaa,Pomacanthus paru,2.85,41.1,MED,SPON,minor,none,yes
,ANGEL,Pomacanthidae,french,popaj,Pomacanthus paru,2.85,41.1,MED,SPON,none,none,yes
6,ANGEL,Pomacanthidae,grey,poara,Pomacanthus arcuatus,2.9,60,MED,SPON,minor,none,yes
7,ANGEL,Pomacanthidae,queen,hocia,Holacanthus ciliaris,3.0,45,MED,SPON,minor,none,yes
8,ANGEL,Pomacanthidae,rock beauty,hotra,Holacanthus tricolor,3.0,35,MED,SPON,minor,none,yes
8,ANGEL,Pomacanthidae,rock beauty,hotrj,Holacanthus tricolor,3.0,35,MED,SPON,none,none,yes
10,BARRACUDA,Sphyraenidae,great barracuda,spbaa,Sphyraena barracuda,4.5,200,LARGE,PISC,minor,yes,yes
11,BARRACUDA,Sphyraenidae,southern sennet,sppia,Sphyraena picudilla,4.5,66.06,LARGE,PISC,minor,yes,none
,BIGEYES,Priacanthidae,glasseye,hecra,Heteropriacanthus cruentatus,3.75,50.7,LARGE,MINV,minor,none,yes
20,BONNETMOUTH,,boga,invia,Inermia vittata,3.2,23.0,MEDSMALL,MINV,minor,none,none
25,BOXFISH,Ostraciidae,honeycomb cowfish,lapoa,Acanthostracion polygonius,3,50,MED,OMNI,yes,none,yes
26,BOXFISH,Ostraciidae,sqrawled cowfish,laqua,Acanthostracion quadricornis,3.0,55,MED,OMNI,minor,none,yes
225,BURRFISH,,bridled burrfish,chana,Chilomycterus antennatus,3.4,38.0,MED,SINV,none,none,none
222,BURRFISH,,web burrfish,cianaa,Chilomycterus antillarum,3.4,30,MED,SINV,none,none,none
27,BUTTERFLY,,4-eye,chcaa,Chaetodon capistratus,3.3,7.5,SMALL,SINV,none,none,yes
,BUTTERFLY,,4-eye,chcaj,Chaetodon capistratus,3.3,7.5,SMALL,SINV,none,none,yes
29,BUTTERFLY,,banded,chsta,Chaetodon striatus,3.2,16,MEDSMALL,SINV,none,none,yes
,BUTTERFLY,,banded,chstj,Chaetodon striatus,3.2,16,MEDSMALL,SINV,none,none,yes
,BUTTERFLY,,bank,praya,Prognathodes aya,3,14,MEDSMALL,SINV,none,none,minor
31,BUTTERFLY,,Longsnout,chaca,Chaetodon aculeatus,3,10,SMALL,SINV,none,none,yes
32,BUTTERFLY,,reef,chsea,Chaetodon sedentarius,2.8,15,MEDSMALL,SINV,none,none,yes
33,BUTTERFLY,,spotfin,choca,Chaetodon ocellatus,3.3,20,MEDSMALL,SINV,none,none,yes
35,CHUB,Kyphosidae,chub,kyspa,Kyphosus incisor,2.0,104.37,LARGE,MALG,minor,yes,none
36,DAMSEL,,3-spot,stpla,stegastes planifrons,2.6,13,MEDSMALL,THER,none,none,yes
,DAMSEL,,3-spot,stplj,stegastes planifrons,2.6,13,MEDSMALL,THER,none,none,yes
38,DAMSEL,,beaugregory,stlea,Stegastes leucostictus,3.1,10,SMALL,THER,none,none,yes
,DAMSEL,,beaugregory,stlej,Stegastes leucostictus,3.1,10,SMALL,THER,none,none,yes
40,DAMSEL,,bicolor,stpaa,Stegastes partitus,3.1,10,SMALL,THER,none,none,yes
,DAMSEL,,bicolor,stpaj,Stegastes partitus,3.1,10,SMALL,THER,none,none,yes
42,DAMSEL,,blue chromis,chcya,Chromis cyanea,3.1,15,MEDSMALL,DPLA,none,none,yes
,DAMSEL,,blue chromis,chcyj,Chromis cyanea,3.1,15,MEDSMALL,DPLA,none,none,yes
44,DAMSEL,,brown chromis,chmua,Chromis multilineata,3.0,20,MEDSMALL,DPLA,none,none,yes
,DAMSEL,,brown chromis,chmuj,Chromis multilineata,3.0,20,MEDSMALL,DPLA,none,none,yes
46,DAMSEL,,cocoa,stvaa,Stegastes variabilis,2.5,12.5,MEDSMALL,THER,none,none,yes
,DAMSEL,,cocoa,stvaj,Stegastes variabilis,2.5,12.5,MEDSMALL,THER,none,none,yes
48,DAMSEL,,dusky,stfua,Stegastes fuscus,3.1,12.6,MEDSMALL,THER,none,none,yes
,DAMSEL,,dusky,stfuj,Stegastes fuscus,3.1,12.6,MEDSMALL,THER,none,none,yes
50,DAMSEL,,longfin,stdia,Stegastes diencaeus,3.1,12.5,MEDSMALL,THER,none,none,yes
,DAMSEL,,longfin,stdij,Stegastes diencaeus,3.1,12.5,MEDSMALL,THER,none,none,yes
52,DAMSEL,,Sgt Major,absaa,Abudefduf saxatilis,3.4,22.9,MEDSMALL,OMNI,minor,none,yes
,DAMSEL,,Sgt Major,absaj,Abudefduf saxatilis,3.4,22.9,MEDSMALL,OMNI,minor,none,yes
53,DAMSEL,,sunshinefish,chinj,Chromis insolata,3,16,MEDSMALL,DPLA,none,none,yes
54,DAMSEL,,yellow tail,micha,Microspathodon chrysurus,2.1,21,MEDSMALL,THER,none,none,yes
,DAMSEL,,yellow tail,michj,Microspathodon chrysurus,2.1,21,MEDSMALL,THER,none,none,yes
,DAMSEL,,yellowtail reeffish,chena,Chromis enchrysura,3.4,10.0,SMALL,DPLA,none,none,none
21,DRUM,Sciaenidae,cubbyu,pauma,Pareques umbrosus,3.6,25,MEDSMALL,MINV,minor,none,none
22,DRUM,Sciaenidae,highhat,eqaca,Pareques acuminatus,3.6,23,MEDSMALL,MINV,minor,none,yes
23,DRUM,Sciaenidae,jacknife fish,eqlaa,Equetus lanceolatus,3.4,25,MEDSMALL,MINV,minor,none,yes
56,DRUM,Sciaenidae,spotted,eqpua,Equetus punctatus,3.5,27,MEDSMALL,MINV,minor,none,yes
,DRUM,Sciaenidae,spotted,eqpuj,Equetus punctatus,3.5,27,MEDSMALL,MINV,none,none,yes
58,FILEFISH,Monacanthidae,fringed,mocia,Monacanthus ciliatus,2.7,20,MEDSMALL,OMNI,none,none,yes
59,FILEFISH,Monacanthidae,orangespot,capua,Cantherhunes pullus,2.6,20,MEDSMALL,OMNI,none,none,yes
,FILEFISH,Monacanthidae,orangespot,capuj,Cantherhunes pullus,2.6,20,MEDSMALL,OMNI,none,none,yes
,FILEFISH,Monacanthidae,pygmy,mosea,Monacanthus setifer,,,,,,,
60,FILEFISH,Monacanthidae,scrawled,alsca,Aluterus scriptus,2.8,110,LARGE,OMNI,none,yes,yes
61,FILEFISH,Monacanthidae,slender,motua,Monacanthus tuckeri,2.7,10,SMALL,OMNI,none,none,yes
,FILEFISH,Monacanthidae,slender,motuj,Monacanthus tuckeri,2.7,10,SMALL,OMNI,none,none,yes
63,FILEFISH,Monacanthidae,whitespot,camaa,Cantherhines macrocerus,3,46,MED,OMNI,none,none,yes
64,FLOUNDER,Bothidae,peacock,bolua,Bothus lunatus,4.5,46,MED,SAND,minor,none,yes
65,GOATFISH,Mullidae,spotted,psmaa,Pseudupeneus maculatus,3.5,30,MEDSMALL,SINV,yes,none,yes
66,GOATFISH,Mullidae,yellow,mumaa,Mulloidichthys martinicus,3.25,39.4,MED,SAND,minor,none,none
,GRUNT,Haemulidae,black,haboa,Haemulon bonariense,3.54,40,MED,MINV,yes,none,yes
84,GRUNT,Haemulidae,black margate,ansua,Anisotremus surinamensis,3.3,76,LARGE,MINV,yes,none,yes
83,GRUNT,Haemulidae,blue stripe,hasca,Haemulon sciurus,3.4,46.00,MED,MINV,minor,none,yes
85,GRUNT,Haemulidae,caesar,hacaa,Haemulon carbonarium,3.3,36,MED,MINV,minor,none,yes
,GRUNT,Haemulidae,caesar,hacaj,Haemulon carbonarium,3.3,36,MED,MINV,none,none,yes
87,GRUNT,Haemulidae,cottonwick,hamea,Haemulon melanurum,2.2,33,MED,MINV,minor,none,yes
88,GRUNT,Haemulidae,french,hafla,Haemulon flavolineatum,3.3,30,MEDSMALL,MINV,yes,none,yes
,GRUNT,Haemulidae,french,haflj,Haemulon flavolineatum,3.3,30,MEDSMALL,MINV,none,none,yes
90,GRUNT,Haemulidae,latin,hasda,Haemulon steindachneri,3.5,30,MED,MINV,minor,none,yes
91,GRUNT,Haemulidae,porkfish,anvia,Anisotremus virginicus,3.4,40.6,MED,MINV,minor,yes,yes
,GRUNT,Haemulidae,porkfish,anvij,Anisotremus virginicus,3.4,40.6,MED,MINV,minor,yes,yes
93,GRUNT,Haemulidae,sailors choice,hapaa,Haemulon parra,3.5,41.2,MED,MINV,minor,none,yes
94,GRUNT,Haemulidae,smallmouth,hacha,Haemulon chrysargyreum,3.3,23,MEDSMALL,MINV,minor,none,yes
95,GRUNT,Haemulidae,spanish,hamaa,Haemulon macrostomum,3.3,43,MED,MINV,minor,none,yes
96,GRUNT,Haemulidae,striped,hasta,Haemulon striatum,3.4,28,MEDSMALL,MINV,minor,none,yes
98,GRUNT,Haemulidae,tomtate,haaua,Haemulon aurolineatum,3.2,25,MEDSMALL,MINV,minor,none,yes
