Year,Date,Site,Transect,Transect Length (m),Observer,Notes,"Agelas clathrodes, Agelas citrina or Clathria faviformis",Agelas conifera,Agelas spp.,Ailochroia crassa or Verongula rigida,Amphimedon compressa,Amphimedon sp. (complanata?),"Aplysina (fistularis, insularis, fulva)",Aplysina cauliformes,"Aplysina lacunosa, Suberia sp. And Verongula reiswigi",Callyspongia fallax,Callyspongia plicifera,Callyspongia vaginalis,Cervicornia cuspidifera,Chondrilla caribensis ,Cinachyrella kuekenthali,Clathria virgultosa/Raphidophlus juniperus,Cliona delithrix,Cliona laticavicola,Cliona varians,Cribochalina vasculum/Petrosia pellasarca,Desmapsamma anchorata,Disidea sp. (etheria),Disidea janiae,Ectoplasia ferox,Halisarca cerulea,Iotrocha birotula,Ircinia campana,Ircinia felix,Ircinia strobilina ,Monanchora arbuscula,Mycale laevis,Mycale laxissima,Neofibularia nolitangere,Neopetrosia proxima (may include Xestospongia subtriangularis),Niphates erecta (may include N. amorpha),Plakortis sp.,Dictyonella funicularis ,Scopalina ruetzleri ,Spirastrella coccinea and S. hartmani,Tectitethya crypta ,Xestospongia muta,unidentified ,Red Encrusting,Orange encrusting, Like C. fallax but soft with pinched tube ends,Iotrocha sp. ,Niphates sp. Or Lissodendoryx?,Pandaros acanthifolium,Higginsia coralloides (may rarely include Ptilocaulis walpersii),Hyrtios sp or Spheciosphongia vesparium,Breadcrumb (Svenzea zeai or S. cristinae or Calyx podatypa),"""Ircinia smooth"" (Spongia?)",Amphimedon viridis,Spongosorites coralliphaga,Artemisina melana or Iotrocha arenosa,Clathria venosa,Dragmacidon reticulatum,"Black, spiny, purple exudate but not slimy",,,,,,,,,,,,,,,,,,,,,
1993,11-Jul,Bigelow,T,30,L Jarecki,,0,0,0,2,4,1,3,1,2,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,4,8,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1993,11-Jul,Bigelow,1,30,L Jarecki,,0,0,0,1,6,0,0,3,7,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,3,1,0,0,4,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1993,11-Jul,Bigelow,2,30,L Jarecki,,0,0,0,0,2,1,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1993,14-Jul,Grand Ghut,T,30,L Jarecki,,0,0,0,0,1,0,0,2,2,1,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1993,14-Jul,Grand Ghut,1,30,L Jarecki,,0,0,0,0,0,0,3,0,0,0,0,3,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,3,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1993,14-Jul,Grand Ghut,2,30,L Jarecki,,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,6,3,0,0,0,0,0,0,0,3,1,2,5,1,0,0,0,8,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1993,2-Jul,Guana Head,T,30,L Jarecki,,1,0,0,1,5,1,0,9,4,1,0,2,0,4,1,0,0,5,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1993,2-Jul,Guana Head,1,30,L Jarecki,,2,0,0,1,4,0,0,3,2,0,0,1,0,5,0,0,0,5,2,0,0,0,2,0,0,0,1,0,0,7,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1993,2-Jul,Guana Head,2,30,L Jarecki,,0,0,0,0,5,3,0,8,0,1,0,0,0,4,0,0,0,9,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1993,2-Jul,Monkey Pt,T,30,L Jarecki,,0,0,0,0,6,2,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,5,5,0,0,10,8,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
