new_code,Family,common name,old_code_1992,notes
popaa,DAMSEL,bicolor,dabicolor,
popaj,DAMSEL,bicolor,djbicolor,
micha,DAMSEL,yellow tail,dayelltail,
michj,DAMSEL,yellow tail,djyelltail,
popla,DAMSEL,3-spot,da3spot,
poplj,DAMSEL,3-spot,dj3spot,
polea,DAMSEL,beaugregory,dabeaugreg,
polej,DAMSEL,beaugregory,djbeaugreg,
povaa,DAMSEL,cocoa,dacocoa,
povaj,DAMSEL,cocoa,djcocoa,
podia,DAMSEL,longfin,dalong,
podij,DAMSEL,longfin,djlong,
pofua,DAMSEL,dusky,dadusky,
pofuj,DAMSEL,dusky,djdusk,
chcya,DAMSEL,blue chromis,dablchrom,
chcyj,DAMSEL,blue chromis,djblchrom,
chmua,DAMSEL,brown chromis,dabrchrom,
chmuj,DAMSEL,brown chromis,djbrchrom,
chinj,DAMSEL,sunshinefish,jsunshine,
absaa,DAMSEL,Sgt Major,dasgtmajor,
thbia,WRASSE,blue head,wabluehead,
thbij,WRASSE,blue head,wjbluehead,
hagaa,WRASSE,yellow head,wayellhead,
hagaj,WRASSE,yellow head,wjyelhead,
habia,WRASSE,slippery dick,waslipdick,
habij,WRASSE,slippery dick,wjslipdick,
haraa,WRASSE,puddingwife,wapudding,
haraj,WRASSE,puddingwife,wjpudding,
hapoa,WRASSE,black ear,wablckear,
hapoj,WRASSE,black ear,wjblckear,
hamaa,WRASSE,clown,waclown,
hamaj,WRASSE,clown,wjclown,
hacya,WRASSE,yellowcheek,waycheek,
hacyj,WRASSE,yellowcheek,wjycheek,
clpaa,WRASSE,creole,wacreaole,
clpaj,WRASSE,creole,wjcreaole,
hapia,WRASSE,rainbow,warainbow,
hapij,WRASSE,rainbow,wjrainbow,
lamaa,WRASSE,hogfish,ahogfish,
borua,WRASSE,spanish hog,waspanhog,
boruj,WRASSE,spanish hog,jspanishog,
sccra,PARROT,stripe,pastr,
sccrj,PARROT,stripe_and_princess,pjstr/prin,two species not distinguished as juveniles
sctaa,PARROT,princess,princess adult,
spvia,PARROT,stoplight,pastopli,
spvij,PARROT,stoplight,pjstopli,
spaua,PARROT,redband,paredband,
spauj,PARROT,redband,pjredband,
scvea,PARROT,queen,paqu,
scgua,PARROT,rainbow,,
scvej,PARROT,queen,pjqu/rain,
sprua,PARROT,yellowtail,payetail,
spruj,PARROT,yellowtail,pjyetail,
sccoa,PARROT,blue,pablue,
spcha,PARROT,redtail,paredtail,
spchj,PARROT,redtail,pjredtail,
spraa,PARROT,bucktooth,pabucktooth,
spata,PARROT,greenblotch,pagreenbl,added in 2004
spatj,PARROT,greenblotch,pjgreenbl,
crroa,PARROT,bluelip,pabluelip,
niusa,PARROT,emerald,paemerald,added in 2009
chcaa,CHAET,4-eye,ca4eye,
chcaj,CHAET,4-eye,cj4eye,
chsta,CHAET,banded,cabanded,
chstj,CHAET,banded,cjbanded,
chsea,CHAET,reef,areefbutt,
chocj,CHAET,spotfin,jspotfin,
accoa,SURGEON,blue tang,sabltang,
accoj,SURGEON,blue tang,sjbltang,
acbaa,SURGEON,ocean,saocean,
acbaj,SURGEON,ocean,sjocean,
accha,SURGEON,doctorfish,sadoctor,
acchj,SURGEON,doctorfish,sjdoctor,
hypua,SERRANID,barred,habar,
hyuna,SERRANID,butter,habutter,
hynia,SERRANID,black,hablack,
hynij,SERRANID,black,,
hycha,SERRANID,yellowtail,hayetail,
hychj,SERRANID,yellowtail,hjyetail,
hygua,SERRANID,shy,ashyham,
hyguj,SERRANID,shy,,
hyspa,SERRANID,ad. tan hamlet,,
hyina,SERRANID,indigo,aindigoham,added in 2015
hyspj,SERRANID,juv. hamlet,,juvenile hamlets of most species_appear tan or barred
epgua,SERRANID,red hind,garedhind,
epguj,SERRANID,red hind,gjredhind,
epcra,SERRANID,graysby,gagraysby,
epcrj,SERRANID,graysby,gjgraysby,
epada,SERRANID,rock hind,garockhind,
epadj,SERRANID,rock hind,gjrockhind,
epfua,SERRANID,coney,gaconey,
epfuj,SERRANID,coney,gjconey,
setia,SERRANID,harlequin bass,gaharl,
setij,SERRANID,harlequin bass,gjharl,
epsta,SERRANID,nassau,anassau,
mytia,SERRANID,tiger,atiger,
myvea,SERRANID,yellowfin,ayellowfin,
setaa,SERRANID,tobaccofish,atobacco,
setaj,SERRANID,tobaccofish,jtobacco,
setoa,SERRANID,chalk bass,achalk,
caroa,PUFFER,sharpnose,asharpuff,
caroj,PUFFER,sharpnose,jsharpuf,
spspa,PUFFER,bandtail,abandpuff,
spdoa,PUFFER,marbled,amarbpuff,added in 1998
hafla,GRUNT,french,afrgrunt,
haflj,GRUNT,french,jfrgrunt,
anvia,GRUNT,porkfish,aporkfish,
hacaa,GRUNT,caesar,acaesargr,
hasta,GRUNT,striped,astripegr,
hapla,GRUNT,whitegrunt,awhite,
haaua,GRUNT,tomtate,atomtate,
haauj,GRUNT,tomtate,jtomtate,added in 2013
hacha,GRUNT,smallmouth grunt,asmmouth,added in 1998
hacra,GRUNT,spanish,aspanish,species code changed to avoid conflict with halichoeres maculatus
hasca,GRUNT,blue stripe grunt,abluestripe,
hamea,GRUNT,cotonwick,acottonwick,
ansua,GRUNT,black margate,adult margate,added in 2009
haunj,GRUNT,unidentified,juvunidgrun,all juvenile grunts are pooled
aumaa,TRUMPETFISH,,atrumpet,
aumaj,TRUMPETFISH,,jtrumpet,
psmaa,GOATFISH,spotted,aspotgoat,
