notes,visibility,startime,duration,survey,depth,year,month,day,exceldate,site,transect,fixed_transect,lunar day,repeatdays,repeatpair,TransectMatchCode,popaa,popaj,micha,michj,popla,poplj,polea,polej,povaa,povaj,podia,podij,pofua,pofuj,chcya,chcyj,chmua,chmuj,chinj,absaa,thbia,thbij,hagaa,hagaj,habia,habij,haraa,haraj,hapoa,hapoj,hamaa,hamaj,hacya,hacyj,clpaa,clpaj,hapia,hapij,lamaa,borua,boruj,sccra,sccrj,sctaa,spvia,spvij,spaua,spauj,scvea,scgua,scvej,sprua,spruj,sccoa,spcha,spchj,spraa,spata,spatj,crroa,niusa,chcaa,chcaj,chsta,chstj,chsea,chocj,accoa,accoj,acbaa,acbaj,accha,acchj,hypua,hyuna,hynia,hynij,hycha,hychj,hygua,hyguj,hyspa,hyina,hyspj,epgua,epguj,epcra,epcrj,epada,epadj,epfua,epfuj,setia,setij,epsta,mytia,myvea,setaa,setaj,setoa,caroa,caroj,spspa,spdoa,hafla,haflj,anvia,hacaa,hasta,hapla,haaua,haauj,hacha,hacra,hasca,hamea,ansua,haunj,aumaa,aumaj,psmaa,mumaa,mumaj,eqpua,eqpuj,eqaca,eqlaa,syina,hocia,poara,porua,ceara,hotra,oddea,luapa,occha,occhj,lusya,lujoa,lugra,lumaa,latrj,latra,labia,laqua,motua,motuj,mocia,capua,camaa,alsca,ampia,bacaa,bavea,menia,gecia,cacaa,capea,dihya,chfa,invia,grloa,ptvoa,aptvoj,kysea
,,,,main,30,1992,july,15,15/7,crab,1,n,2,8,3,main-30-1992-july-15-crab-1,1,0,0,0,12,0,6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,12,0,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,0,0,2,63,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,15,15/7,crab,t,y,2,8,3,main-30-1992-july-15-crab-t,0,0,5,0,23,0,0,13.5,0,0,2,0,0,0,0,0,0,0,0,0,0,1.5,5,15,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.5,3,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,17,17/7,monkey,t,y,4,6,11,main-30-1992-july-17-monkey-t,0,0,2,0,0,1.5,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,17,17/7,white,1,n,4,5,18,main-30-1992-july-17-white-1,0,0,0,0,20,3,5,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,17,17/7,white,t,y,4,5,18,main-30-1992-july-17-white-t,0,3,0,0,43,3,3,7.5,3,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,2,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,18,18/7,bigelow,1,n,5,3,1,main-30-1992-july-18-bigelow-1,3,0,0,0,15,1.5,7,3,1,0,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,18,18/7,bigelow,t,y,5,3,1,main-30-1992-july-18-bigelow-t,5,1.5,0,0,7,6,6,13.5,1,0,1,0,0,0,1,7.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,16.5,2,2,0,5,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,18,18/7,muskN,1,n,5,4,14,main-30-1992-july-18-muskN-1,4,0,1,0,19,0,4,1.5,2,0,0,0,0,0,0,6,0,0,0,0,1,1.5,1,7.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1.5,0,2,1.5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,18,18/7,muskN,t,y,5,4,14,main-30-1992-july-18-muskN-t,1,0,1,0,28,6,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,18,18/7,pelican,1,n,5,6,16,main-30-1992-july-18-pelican-1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
